O1: 10199 Chariklo (1997 CU26)
O2: 121725 Aphidas (1999 XX143)
O3: 2060 Chiron (1977 UB)
O4: 31824 Elatus (1999 UG5)
O5: 330836 Orius (2009 HW77)
O6: 346889 Rhiphonos (2009 QV38)
O7: 5145 Pholus (1992 AD)
O8: 5335 Damocles (1991 DA)
O9: 60558 Echeclus (2000 EC98)
O10: 7066 Nessus (1993 HA2)
O11: C/1956 R1 (Arend-Roland)
O12: C/1959 Q2 (Alcock)
O13: C/1966 T1 (Rudnicki)
O14: C/1970 N1 (Abe)
O15: C/1971 E1 (Toba)
O16: C/1972 L1 (Sandage)
O17: C/1975 V1-A (West)
O18: C/1975 V2 (Bradfield)
O19: C/1975 X1 (Sato)
O20: C/1976 D2 (Schuster)
O21: C/1976 U1 (Lovas)
O22: C/1978 H1 (Meier)
O23: C/1979 M1 (Bradfield)
O24: C/1979 M3 (Torres)
O25: C/1980 E1 (Bowell)
O26: C/1980 L1 (Torres)
O27: C/1986 P1-A (Wilson)
O28: C/1986 P1-B (Wilson)
O29: C/1987 A1 (Levy)
O30: C/1987 W3 (Jensen-Shoemaker)
O31: C/1988 C1 (Maury-Phinney)
O32: C/1988 L1 (Shoemaker-Holt-Rodriquez)
O33: C/1989 Q1 (Okazaki-Levy-Rudenko)
O34: C/1990 K1 (Levy)
O35: C/1990 M1 (McNaught-Hughes)
O36: C/1993 Q1 (Mueller)
O37: C/1994 N1 (Nakamura-Nishimura-Machholz)
O38: C/1997 D1 (Mueller)
O39: C/1997 J2 (Meunier-Dupouy)
O40: C/1997 N1 (Tabur)
O41: C/1998 M3 (Larsen)
O42: C/1998 U1 (LINEAR)
O43: C/1999 H3 (LINEAR)
O44: C/1999 J2 (Skiff)
O45: C/1999 K8 (LINEAR)
O46: C/1999 S2 (McNaught-Watson)
O47: C/1999 S4 (LINEAR)
O48: C/1999 Y1 (LINEAR)
O49: C/2000 A1 (Montani)
O50: C/2000 U5 (LINEAR)
O51: C/2001 G1 (LONEOS)
O52: C/2001 RX14 (LINEAR)
O53: C/2002 A3 (LINEAR)
O54: C/2002 E2 (Snyder-Murakami)
O55: C/2002 J5 (LINEAR)
O56: C/2003 A2 (Gleason)
O57: C/2003 G1 (LINEAR)
O58: C/2003 S3 (LINEAR)
O59: C/2004 X3 (LINEAR)
O60: C/2005 Q1 (LINEAR)
O61: C/2006 E1 (McNaught)
O62: C/2006 K3 (McNaught)
O63: C/2006 OF2 (Broughton)
O64: C/2006 S2 (LINEAR)
O65: C/2006 S3 (LONEOS)
O66: C/2006 YC (Catalina-Christensen)
O67: C/2007 JA21 (LINEAR)
O68: C/2007 W3 (LINEAR)
O69: C/2008 A1 (McNaught)
O70: C/2008 FK75 (Lemmon-Siding Spring)
O71: C/2009 K5 (McNaught)
O72: C/2009 O4 (Hill)
O73: C/2009 R1 (McNaught)
O74: C/2009 UG89 (Lemmon)
O75: C/2010 F4 (Machholz)
O76: C/2010 U3 (Boattini)
O77: C/2010 X1 (Elenin)
O78: C/2011 F1 (LINEAR)
O79: C/2011 UF305 (LINEAR)
O80: C/2012 E2 (SWAN)
O81: C/2012 F3 (PANSTARRS)
O82: C/2013 B2 (Catalina)
O83: C/2013 G2 (McNaught)
O84: C/2013 G9 (Tenagra)
O85: C/2013 J5 (Boattini)
O86: C/2013 L2 (Catalina)
O87: C/2013 S1 (Catalina)
O88: C/2013 V2 (Borisov)
O89: C/2014 AA52 (Catalina)
O90: C/2014 B1 (Schwartz)
O91: C/2014 L5 (Lemmon)
O92: C/2014 S1 (PANSTARRS)
O93: C/2014 W3 (PANSTARRS)
O94: C/2015 D3 (PANSTARRS)
O95: C/2015 J1 (PANSTARRS)
O96: C/2015 K7 (COIAS)
O97: C/2015 V2 (Johnson)
O98: C/2015 X7 (ATLAS)
O99: C/2015 XY1 (Lemmon)
O100: C/2016 E2 (Kowalski)
O101: C/2016 J2 (Denneau)
O102: C/2016 K1 (LINEAR)
O103: C/2017 F1 (Lemmon)
O104: C/2017 F2 (PANSTARRS)
O105: C/2017 K2 (PANSTARRS)
O106: C/2017 U7 (PANSTARRS)
O107: C/2017 Y2 (PANSTARRS)
O108: C/2018 C2 (Lemmon)
O109: C/2018 W2 (Africano)
O110: C/2019 E3 (ATLAS)
O111: C/2019 K1 (ATLAS)
O112: C/2019 M3 (ATLAS)
O113: C/2019 M4 (TESS)
O114: C/2019 Q3 (PANSTARRS)
O115: C/2020 N1 (PANSTARRS)
O116: C/2020 R7 (ATLAS)
O117: C/2020 T4 (PANSTARRS)
O118: C/2021 A1 (Leonard)
O119: C/2021 K3 (Catalina)
O120: C/2021 S1 (ATLAS)
O121: C/2021 X1 (Maury-Attard)
O122: C/2024 N1 (PANSTARRS)
O123: C/2024 N4 (Sarneczky)
O124: C/2024 O1 (PANSTARRS)
O125: C/2025 B2 (Borisov)
O126: C/2025 F2 (SWAN)
O127: C/2025 N2 (ATLAS)
O128: C/2ZREİ E2 (ATLAS)
O129: C/2ZREİ K1 (Leonard)
O130: C/2ZREİ O1 (ATLAS)
O131: Pioneer 11
