O1: 10199 Chariklo (1997 CU26)
O2: 121725 Aphidas (1999 XX143)
O3: 2060 Chiron (1977 UB)
O4: 31824 Elatus (1999 UG5)
O5: 32532 Thereus (2001 PT13)
O6: 330836 Orius (2009 HW77)
O7: 346889 Rhiphonos (2009 QV38)
O8: 5145 Pholus (1992 AD)
O9: 5335 Damocles (1991 DA)
O10: 60558 Echeclus (2000 EC98)
O11: 7066 Nessus (1993 HA2)
O12: C/1956 R1 (Arend-Roland)
O13: C/1959 Q2 (Alcock)
O14: C/1966 T1 (Rudnicki)
O15: C/1970 N1 (Abe)
O16: C/1971 E1 (Toba)
O17: C/1972 L1 (Sandage)
O18: C/1975 V1-A (West)
O19: C/1975 V2 (Bradfield)
O20: C/1975 X1 (Sato)
O21: C/1976 D2 (Schuster)
O22: C/1976 U1 (Lovas)
O23: C/1978 H1 (Meier)
O24: C/1979 M1 (Bradfield)
O25: C/1979 M3 (Torres)
O26: C/1980 E1 (Bowell)
O27: C/1980 L1 (Torres)
O28: C/1983 R1 (Shoemaker)
O29: C/1984 K1 (Shoemaker)
O30: C/1986 P1-A (Wilson)
O31: C/1986 P1-B (Wilson)
O32: C/1987 A1 (Levy)
O33: C/1987 W3 (Jensen-Shoemaker)
O34: C/1988 C1 (Maury-Phinney)
O35: C/1988 L1 (Shoemaker-Holt-Rodriquez)
O36: C/1989 Q1 (Okazaki-Levy-Rudenko)
O37: C/1990 K1 (Levy)
O38: C/1990 M1 (McNaught-Hughes)
O39: C/1993 Q1 (Mueller)
O40: C/1994 N1 (Nakamura-Nishimura-Machholz)
O41: C/1997 D1 (Mueller)
O42: C/1997 J2 (Meunier-Dupouy)
O43: C/1997 N1 (Tabur)
O44: C/1998 M3 (Larsen)
O45: C/1998 U1 (LINEAR)
O46: C/1998 W3 (LINEAR)
O47: C/1999 H3 (LINEAR)
O48: C/1999 J2 (Skiff)
O49: C/1999 K5 (LINEAR)
O50: C/1999 K8 (LINEAR)
O51: C/1999 S2 (McNaught-Watson)
O52: C/1999 S4 (LINEAR)
O53: C/1999 U1 (Ferris)
O54: C/1999 Y1 (LINEAR)
O55: C/2000 A1 (Montani)
O56: C/2000 O1 (Koehn)
O57: C/2000 U5 (LINEAR)
O58: C/2001 G1 (LONEOS)
O59: C/2001 RX14 (LINEAR)
O60: C/2002 A3 (LINEAR)
O61: C/2002 E2 (Snyder-Murakami)
O62: C/2002 J5 (LINEAR)
O63: C/2002 O7 (LINEAR)
O64: C/2003 A2 (Gleason)
O65: C/2003 G1 (LINEAR)
O66: C/2003 S3 (LINEAR)
O67: C/2004 X3 (LINEAR)
O68: C/2005 B1 (Christensen)
O69: C/2005 Q1 (LINEAR)
O70: C/2006 E1 (McNaught)
O71: C/2006 K3 (McNaught)
O72: C/2006 OF2 (Broughton)
O73: C/2006 P1 (McNaught)
O74: C/2006 S2 (LINEAR)
O75: C/2006 S3 (LONEOS)
O76: C/2006 YC (Catalina-Christensen)
O77: C/2007 JA21 (LINEAR)
O78: C/2007 W3 (LINEAR)
O79: C/2008 A1 (McNaught)
O80: C/2008 FK75 (Lemmon-Siding Spring)
O81: C/2008 S3 (Boattini)
O82: C/2009 K5 (McNaught)
O83: C/2009 O4 (Hill)
O84: C/2009 R1 (McNaught)
O85: C/2009 UG89 (Lemmon)
O86: C/2010 F4 (Machholz)
O87: C/2010 U3 (Boattini)
O88: C/2010 X1 (Elenin)
O89: C/2011 F1 (LINEAR)
O90: C/2011 UF305 (LINEAR)
O91: C/2012 E2 (SWAN)
O92: C/2012 F3 (PANSTARRS)
O93: C/2013 B2 (Catalina)
O94: C/2013 G2 (McNaught)
O95: C/2013 G9 (Tenagra)
O96: C/2013 J5 (Boattini)
O97: C/2013 L2 (Catalina)
O98: C/2013 S1 (Catalina)
O99: C/2013 V2 (Borisov)
O100: C/2014 AA52 (Catalina)
O101: C/2014 B1 (Schwartz)
O102: C/2014 L5 (Lemmon)
O103: C/2014 S1 (PANSTARRS)
O104: C/2014 W10 (PANSTARRS)
O105: C/2014 W3 (PANSTARRS)
O106: C/2015 D3 (PANSTARRS)
O107: C/2015 J1 (PANSTARRS)
O108: C/2015 K7 (COIAS)
O109: C/2015 T2 (PANSTARRS)
O110: C/2015 V2 (Johnson)
O111: C/2015 X7 (ATLAS)
O112: C/2015 XY1 (Lemmon)
O113: C/2016 C1 (PANSTARRS)
O114: C/2016 E2 (Kowalski)
O115: C/2016 J2 (Denneau)
O116: C/2016 K1 (LINEAR)
O117: C/2017 E3 (PANSTARRS)
O118: C/2017 F1 (Lemmon)
O119: C/2017 F2 (PANSTARRS)
O120: C/2017 K2 (PANSTARRS)
O121: C/2017 S7 (Lemmon)
O122: C/2017 U7 (PANSTARRS)
O123: C/2017 Y2 (PANSTARRS)
O124: C/2018 C2 (Lemmon)
O125: C/2018 W2 (Africano)
O126: C/2019 E3 (ATLAS)
O127: C/2019 K1 (ATLAS)
O128: C/2019 M3 (ATLAS)
O129: C/2019 M4 (TESS)
O130: C/2019 Q3 (PANSTARRS)
O131: C/2020 N1 (PANSTARRS)
O132: C/2020 R7 (ATLAS)
O133: C/2020 T4 (PANSTARRS)
O134: C/2020 W5 (Lemmon)
O135: C/2021 A1 (Leonard)
O136: C/2021 K3 (Catalina)
O137: C/2021 S1 (ATLAS)
O138: C/2021 X1 (Maury-Attard)
O139: C/2024 N1 (PANSTARRS)
O140: C/2024 N4 (Sarneczky)
O141: C/2024 O1 (PANSTARRS)
O142: C/2024 T5 (ATLAS)
O143: C/2025 B2 (Borisov)
O144: C/2025 F2 (SWAN)
O145: C/2025 N2 (ATLAS)
O146: C/2ZREİ E2 (ATLAS)
O147: C/2ZREİ K1 (Leonard)
O148: C/2ZREİ O1 (ATLAS)
O149: Pioneer 11
